time_ms,price,equity,lp_value,fees,phase
1774724400000,83.35029816695847,200.0,-0.0,0.0,Paused
1774728000000,83.21707094375469,200.0,-0.0,0.0,Paused
1774731600000,83.38363828622525,200.0,-0.0,0.0,Paused
1774735200000,82.65322686474838,200.0,-0.0,0.0,Paused
1774738800000,82.71936267075644,200.0,-0.0,0.0,Paused
1774742400000,82.02756797868,200.0,-0.0,0.0,Paused
1774746000000,82.15889085491227,200.0,-0.0,0.0,Paused
1774749600000,82.45513653915253,200.0,-0.0,0.0,Paused
1774753200000,82.71936267075644,200.0,-0.0,0.0,Paused
1774756800000,82.98443551066208,200.0,-0.0,0.0,Paused
1774760400000,82.71936267075644,200.0,-0.0,0.0,Paused
1774764000000,82.71936267075644,200.0,-0.0,0.0,Paused
1774767600000,82.48811859376818,200.0,-0.0,0.0,Paused
1774771200000,82.45513653915253,200.0,-0.0,0.0,Paused
1774774800000,82.3892119872888,200.0,-0.0,0.0,Paused
1774778400000,82.29042397385011,200.0,-0.0,0.0,Paused
1774782000000,82.09320315747381,200.0,-0.0,0.0,Paused
1774785600000,82.55412228674216,200.0,-0.0,0.0,Paused
1774789200000,82.42216767208369,200.0,-0.0,0.0,Paused
1774792800000,81.83097713443719,200.0,-0.0,0.0,Paused
1774796400000,81.86370952529094,200.0,-0.0,0.0,Paused
1774800000000,81.76555161066041,200.0,-0.0,0.0,Paused
1774803600000,81.66751139135863,200.0,-0.0,0.0,Paused
1774807200000,81.53697393668942,200.0,-0.0,0.0,Paused
1774810800000,81.76555161066041,200.0,-0.0,0.0,Paused
1774814400000,81.56958872626406,200.0,-0.0,0.0,Paused
1774818000000,81.86370952529094,200.0,-0.0,0.0,Paused
1774821600000,82.12604043873677,200.0,-0.0,0.0,Paused
1774825200000,80.85506774258718,200.0,-0.0,0.0,Paused
1774828800000,81.37409549505671,200.0,-0.0,0.0,Paused
1774832400000,81.86370952529094,200.0,-0.0,0.0,Paused
1774836000000,82.68628815549427,200.0,-0.0,0.0,Paused
1774839600000,83.31697137840712,200.0,-0.0,0.0,Paused
1774843200000,83.25035777213218,200.0,-0.0,0.0,Paused
1774846800000,83.75126095193751,200.0,-0.0,0.0,Paused
1774850400000,83.61739282930535,200.0,-0.0,0.0,Paused
1774854000000,83.41699174153973,200.0,-0.0,0.0,Paused
1774857600000,83.9524650884822,200.0,-0.0,0.0,Paused
1774861200000,84.49137576514967,200.0,-0.0,0.0,Paused
1774864800000,84.12050439634358,200.0,-0.0,0.0,Paused
1774868400000,83.85180267104518,200.0,-0.0,0.0,Paused
1774872000000,84.18781425914135,200.0,-0.0,0.0,Paused
1774875600000,84.45759272805846,200.0,-0.0,0.0,Paused
1774879200000,83.9524650884822,200.0,-0.0,0.0,Paused
1774882800000,84.32259560381186,200.0,-0.0,0.0,Paused
1774886400000,84.45759272805846,200.0,-0.0,0.0,Paused
1774890000000,84.18781425914135,200.0,-0.0,0.0,Paused
1774893600000,83.21707094375469,200.0,-0.0,0.0,Paused
1774897200000,82.65322686474838,200.0,-0.0,0.0,Paused
1774900800000,82.356269479497,200.0,-0.0,0.0,Paused
1774904400000,82.75245041582473,200.0,-0.0,0.0,Paused
1774908000000,83.15053720990085,200.0,-0.0,0.0,Paused
1774911600000,82.81866561654948,200.0,-0.0,0.0,Paused
1774915200000,82.48811859376818,200.0,-0.0,0.0,Paused
1774918800000,82.68628815549427,200.0,-0.0,0.0,Paused
1774922400000,83.85180267104518,200.0,-0.0,0.0,Paused
1774926000000,83.8182753609008,200.0,-0.0,0.0,Paused
1774929600000,83.51713217712428,200.0,-0.0,0.0,Paused
1774933200000,83.31697137840712,200.0,-0.0,0.0,Paused
1774936800000,83.68430012235162,200.0,-0.0,0.0,Paused
1774940400000,83.35029816695847,200.0,-0.0,0.0,Paused
1774944000000,83.05083633658026,200.0,-0.0,0.0,Paused
1774947600000,82.25752096546394,200.0,-0.0,0.0,Paused
1774951200000,80.46797060789038,200.0,-0.0,0.0,Paused
1774954800000,80.43579628937465,200.0,-0.0,0.0,Paused
1774958400000,80.8227386471283,200.0,-0.0,0.0,Paused
1774962000000,80.75811923044489,200.0,-0.0,0.0,Paused
1774965600000,81.76555161066041,200.0,-0.0,0.0,Paused
1774969200000,80.59679663071663,200.0,-0.0,0.0,Paused
1774972800000,80.8227386471283,200.0,-0.0,0.0,Paused
1774976400000,82.32334014343967,200.0,-0.0,0.0,Paused
1774980000000,82.29042397385011,200.0,-0.0,0.0,Paused
1774983600000,82.81866561654948,200.0,-0.0,0.0,Paused
1774987200000,82.68628815549427,200.0,-0.0,0.0,Paused
1774990800000,83.15053720990085,200.0,-0.0,0.0,Paused
1774994400000,82.7855513959911,200.0,-0.0,0.0,Paused
1774998000000,82.71936267075644,200.0,-0.0,0.0,Paused
1775001600000,83.15053720990085,200.0,-0.0,0.0,Paused
1775005200000,83.35029816695847,200.0,-0.0,0.0,Paused
1775008800000,82.71936267075644,200.0,-0.0,0.0,Paused
1775012400000,82.58714393565685,200.0,-0.0,0.0,Paused
1775016000000,83.38363828622525,200.0,-0.0,0.0,Paused
1775019600000,83.71777384240056,200.0,-0.0,0.0,Paused
1775023200000,84.08686964848418,200.0,-0.0,0.0,Paused
1775026800000,84.45759272805846,200.0,-0.0,0.0,Paused
1775030400000,83.8182753609008,200.0,-0.0,0.0,Paused
1775034000000,83.61739282930535,200.0,-0.0,0.0,Paused
1775037600000,83.38363828622525,200.0,-0.0,0.0,Paused
1775041200000,83.35029816695847,200.0,-0.0,0.0,Paused
1775044800000,83.35029816695847,200.0,-0.0,0.0,Paused
1775048400000,83.01762928486633,200.0,-0.0,0.0,Paused
1775052000000,82.65322686474838,200.0,-0.0,0.0,Paused
1775055600000,83.35029816695847,200.0,-0.0,0.0,Paused
1775059200000,83.65083978643709,200.0,-0.0,0.0,Paused
1775062800000,85.23803101644607,200.0,-0.0,0.0,Paused
1775066400000,84.42382319877896,200.0,-0.0,0.0,Paused
1775070000000,83.65083978643709,200.0,-0.0,0.0,Paused
1775073600000,83.78476145631828,200.0,-0.0,0.0,Paused
1775077200000,82.52111384120569,200.0,-0.0,0.0,Paused
1775080800000,81.63485744837928,200.0,-0.0,0.0,Paused
1775084400000,81.17907079144696,200.0,-0.0,0.0,Paused
1775088000000,81.17907079144696,200.0,-0.0,0.0,Paused
1775091600000,81.60221656175459,200.0,-0.0,0.0,Paused
1775095200000,79.34949032728929,200.0,-0.0,0.0,Paused
1775098800000,78.84337609801743,200.0,-0.0,0.0,Paused
1775102400000,78.9696012096012,200.0,-0.0,0.0,Paused
1775106000000,78.84337609801743,200.0,-0.0,0.0,Paused
1775109600000,79.25434706365405,200.0,-0.0,0.0,Paused
1775113200000,79.12766681393295,200.0,-0.0,0.0,Paused
1775116800000,79.60376446658402,200.0,-0.0,0.0,Paused
1775120400000,79.09602840257192,200.0,-0.0,0.0,Paused
1775124000000,79.25434706365405,200.0,-0.0,0.0,Paused
1775127600000,78.87491344845662,200.0,-0.0,0.0,Paused
1775131200000,78.34049001314844,200.0,-0.0,0.0,Paused
1775134800000,77.93425782498474,200.0,-0.0,0.0,Paused
1775138400000,77.71639062999394,200.0,-0.0,0.0,Paused
1775142000000,79.09602840257192,200.0,-0.0,0.0,Paused
1775145600000,79.03278952570504,200.0,-0.0,0.0,Paused
1775149200000,79.44474780851573,200.0,-0.0,0.0,Paused
1775152800000,78.59153082749845,200.0,-0.0,0.0,Paused
1775156400000,79.09602840257192,200.0,-0.0,0.0,Paused
1775160000000,78.9696012096012,200.0,-0.0,0.0,Paused
1775163600000,79.19098160781078,200.0,-0.0,0.0,Paused
1775167200000,78.906463413836,200.0,-0.0,0.0,Paused
1775170800000,79.00118905008503,200.0,-0.0,0.0,Paused
1775174400000,78.9380259992015,200.0,-0.0,0.0,Paused
1775178000000,79.19098160781078,200.0,-0.0,0.0,Paused
1775181600000,79.15931788065852,200.0,-0.0,0.0,Paused
1775185200000,79.34949032728929,200.0,-0.0,0.0,Paused
1775188800000,79.03278952570504,200.0,-0.0,0.0,Paused
1775192400000,79.3177632220005,200.0,-0.0,0.0,Paused
1775196000000,79.34949032728929,200.0,-0.0,0.0,Paused
1775199600000,79.66746021475961,200.0,-0.0,0.0,Paused
